word,category,weight,polarity
hopeless,depression,0.8,negative
sad,depression,0.7,negative
empty,depression,0.6,negative
worthless,depression,0.9,negative
helpless,depression,0.8,negative
guilty,depression,0.7,negative
anxious,anxiety,0.6,negative
worried,anxiety,0.5,negative
stressed,anxiety,0.6,negative
overwhelmed,anxiety,0.7,negative
panic,anxiety,0.8,negative
nervous,anxiety,0.5,negative
tired,fatigue,0.6,negative
exhausted,fatigue,0.8,negative
drained,fatigue,0.7,negative
weary,fatigue,0.6,negative
lethargic,fatigue,0.7,negative
sluggish,fatigue,0.6,negative
isolated,social,0.7,negative
alone,social,0.6,negative
lonely,social,0.8,negative
withdrawn,social,0.7,negative
disconnected,social,0.6,negative
abandoned,social,0.8,negative
death,suicidal,0.9,negative
die,suicidal,0.9,negative
suicide,suicidal,1.0,negative
kill,suicidal,0.8,negative
end,suicidal,0.5,negative
escape,suicidal,0.6,negative
happy,positive,0.7,positive
joy,positive,0.8,positive
excited,positive,0.7,positive
grateful,positive,0.6,positive
hopeful,positive,0.8,positive
confident,positive,0.7,positive
energetic,positive,0.6,positive
motivated,positive,0.7,positive
optimistic,positive,0.8,positive
peaceful,positive,0.6,positive
content,positive,0.6,positive
fulfilled,positive,0.7,positive
successful,positive,0.6,positive
accomplished,positive,0.7,positive
loved,positive,0.8,positive
supported,positive,0.7,positive
crying,behavioral,0.7,negative
sleeping,behavioral,0.4,neutral
eating,behavioral,0.3,neutral
drinking,behavioral,0.5,negative
cutting,behavioral,0.9,negative
hiding,behavioral,0.6,negative
avoiding,behavioral,0.6,negative
procrastinating,behavioral,0.5,negative
neglecting,behavioral,0.6,negative
withdrawing,behavioral,0.7,negative
dark,emotional,0.5,negative
numb,emotional,0.7,negative
broken,emotional,0.8,negative
lost,emotional,0.6,negative
confused,emotional,0.5,negative
angry,emotional,0.6,negative
frustrated,emotional,0.5,negative
disappointed,emotional,0.5,negative
hurt,emotional,0.6,negative
pain,emotional,0.7,negative
suffering,emotional,0.8,negative
struggle,emotional,0.6,negative
difficult,emotional,0.4,negative
hard,emotional,0.4,negative
impossible,emotional,0.7,negative
failure,cognitive,0.7,negative
mistake,cognitive,0.4,negative
stupid,cognitive,0.6,negative
useless,cognitive,0.8,negative
burden,cognitive,0.7,negative
problem,cognitive,0.4,negative
wrong,cognitive,0.4,negative
bad,cognitive,0.4,negative
terrible,cognitive,0.6,negative
awful,cognitive,0.6,negative
horrible,cognitive,0.7,negative
worst,cognitive,0.6,negative
hate,cognitive,0.7,negative
disgusted,cognitive,0.6,negative
ashamed,cognitive,0.7,negative
embarrassed,cognitive,0.5,negative
regret,cognitive,0.6,negative
sorry,cognitive,0.4,negative
never,temporal,0.5,negative
always,temporal,0.4,negative
forever,temporal,0.5,negative
endless,temporal,0.6,negative
stuck,temporal,0.6,negative
trapped,temporal,0.7,negative
nowhere,spatial,0.6,negative
nothing,existential,0.7,negative
nobody,existential,0.6,negative
empty,existential,0.7,negative
void,existential,0.7,negative
meaningless,existential,0.8,negative
pointless,existential,0.7,negative
therapy,treatment,0.5,neutral
counseling,treatment,0.5,neutral
medication,treatment,0.4,neutral
antidepressant,treatment,0.5,neutral
psychiatrist,treatment,0.4,neutral
psychologist,treatment,0.4,neutral
therapist,treatment,0.4,neutral
doctor,treatment,0.3,neutral
hospital,treatment,0.4,neutral
crisis,treatment,0.7,negative
emergency,treatment,0.6,negative
intervention,treatment,0.5,neutral
